,Year,NOC,Host_Country,Bronze,Gold,Silver,Total_Medals,region,Season,Is_Host
999,1994,SUI,Norway,4,4,8,16,,,
1000,1994,USA,Norway,5,6,8,19,,,
1001,1994,CAN,Norway,5,3,29,37,,,
1002,1994,ITA,Norway,12,14,6,32,,,
1003,1994,NED,Norway,3,0,1,4,,,
1004,1994,NOR,Norway,5,8,17,30,,,
1005,1994,SWE,Norway,0,23,1,24,,,
1006,1994,FIN,Norway,29,0,1,30,,,
1007,1994,RUS,Norway,4,19,13,36,,,
1008,1994,JPN,Norway,2,3,5,10,,,
1009,1994,KOR,Norway,1,7,1,9,,,
1010,1994,CHN,Norway,2,0,1,3,,,
1011,1994,SLO,Norway,3,0,0,3,,,
1012,1994,BLR,Norway,0,0,2,2,,,
1013,1994,KAZ,Norway,0,1,2,3,,,
1014,1994,UKR,Norway,1,1,0,2,,,
1015,1994,UZB,Norway,0,1,0,1,,,
1016,1996,AUS,USA,84,32,16,132,,,
1017,1996,AUT,USA,2,0,1,3,,,
1018,1996,DEN,USA,1,21,1,23,,,
1019,1996,FRA,USA,20,21,10,51,,,
1020,1996,GBR,USA,9,2,15,26,,,
1021,1996,GER,USA,47,42,35,124,,,
1022,1996,GRE,USA,0,4,4,8,,,
1023,1996,HUN,USA,26,8,9,43,,,
1024,1996,SUI,USA,0,5,6,11,,,
1025,1996,USA,USA,52,159,48,259,,,
1026,1996,BEL,USA,2,2,2,6,,,
1027,1996,CAN,USA,12,8,30,50,,,
1028,1996,CUB,USA,10,37,8,55,,,
1029,1996,ESP,USA,22,23,21,66,,,
1030,1996,IND,USA,1,0,0,1,,,
1031,1996,ITA,USA,28,19,24,71,,,
1032,1996,MEX,USA,1,0,0,1,,,
1033,1996,NED,USA,26,38,9,73,,,
1034,1996,NOR,USA,18,2,3,23,,,
1035,1996,NZL,USA,4,3,2,9,,,
1036,1996,SWE,USA,5,3,23,31,,,
1037,1996,FIN,USA,1,1,2,4,,,
1038,1996,RSA,USA,1,3,1,5,,,
1039,1996,RUS,USA,34,36,45,115,,,
1040,1996,BRA,USA,43,5,15,63,,,
1041,1996,JPN,USA,13,3,26,42,,,
1042,1996,ARG,USA,1,0,19,20,,,
1043,1996,IRL,USA,1,3,0,4,,,
1044,1996,POL,USA,7,7,8,22,,,
1045,1996,POR,USA,2,1,0,3,,,
1046,1996,ROU,USA,15,13,10,38,,,
1047,1996,PHI,USA,0,0,1,1,,,
1048,1996,LAT,USA,0,0,1,1,,,
1049,1996,TUR,USA,1,4,1,6,,,
1050,1996,IRI,USA,1,1,1,3,,,
1051,1996,JAM,USA,12,1,3,16,,,
1052,1996,KOR,USA,7,10,49,66,,,
1053,1996,PUR,USA,1,0,0,1,,,
1054,1996,TTO,USA,2,0,0,2,,,
1055,1996,BUL,USA,6,3,12,21,,,
1056,1996,BAH,USA,0,0,5,5,,,
1057,1996,ETH,USA,1,2,0,3,,,
1058,1996,MAR,USA,2,0,0,2,,,
1059,1996,TPE,USA,0,0,1,1,,,
1060,1996,KEN,USA,3,1,4,8,,,
1061,1996,NGR,USA,3,17,4,24,,,
1062,1996,PRK,USA,2,2,1,5,,,
1063,1996,TUN,USA,1,0,0,1,,,
1064,1996,MGL,USA,1,0,0,1,,,
1065,1996,UGA,USA,1,0,0,1,,,
1066,1996,THA,USA,1,1,0,2,,,
1067,1996,ALG,USA,1,2,0,3,,,
1068,1996,CHN,USA,17,19,70,106,,,
1069,1996,SYR,USA,0,1,0,1,,,
1070,1996,ZAM,USA,0,0,1,1,,,
1071,1996,CRC,USA,0,1,0,1,,,
1072,1996,INA,USA,3,2,1,6,,,
1073,1996,CRO,USA,0,16,12,28,,,
1074,1996,ISR,USA,1,0,0,1,,,
1075,1996,LTU,USA,11,0,0,11,,,
1076,1996,MAS,USA,1,0,2,3,,,
1077,1996,NAM,USA,0,0,2,2,,,
1078,1996,SLO,USA,0,0,2,2,,,
1079,1996,BLR,USA,16,1,6,23,,,
1080,1996,KAZ,USA,4,3,4,11,,,
1081,1996,UKR,USA,19,10,5,34,,,
1082,1996,UZB,USA,1,0,1,2,,,
1083,1996,ARM,USA,0,1,1,2,,,
1084,1996,AZE,USA,0,0,1,1,,,
1085,1996,BDI,USA,0,1,0,1,,,
1086,1996,CZE,USA,4,4,5,13,,,
1087,1996,ECU,USA,0,1,0,1,,,
1088,1996,GEO,USA,2,0,0,2,,,
1089,1996,HKG,USA,0,1,0,1,,,
1090,1996,MDA,USA,1,0,2,3,,,
1091,1996,MOZ,USA,1,0,0,1,,,
1092,1996,SCG,USA,13,1,12,26,,,
1093,1996,SVK,USA,1,1,1,3,,,
1094,1996,TGA,USA,0,0,1,1,,,
1095,1998,AUS,Japan,1,0,0,1,,,
1096,1998,AUT,Japan,12,3,5,20,,,
1097,1998,DEN,Japan,0,0,5,5,,,
1098,1998,FRA,Japan,12,2,1,15,,,
1099,1998,GBR,Japan,4,0,0,4,,,
1100,1998,GER,Japan,10,22,12,44,,,
1101,1998,SUI,Japan,3,6,5,14,,,
1102,1998,USA,Japan,5,25,4,34,,,
1103,1998,BEL,Japan,1,0,0,1,,,
1104,1998,CAN,Japan,7,14,28,49,,,
1105,1998,ITA,Japan,5,3,9,17,,,
1106,1998,NED,Japan,2,5,4,11,,,
1107,1998,NOR,Japan,12,13,15,40,,,
1108,1998,SWE,Japan,5,0,2,7,,,
1109,1998,FIN,Japan,49,2,7,58,,,
1110,1998,RUS,Japan,6,14,32,52,,,
1111,1998,JPN,Japan,4,8,1,13,,,
1112,1998,KOR,Japan,2,6,4,12,,,
1113,1998,BUL,Japan,0,1,0,1,,,
1114,1998,CHN,Japan,5,0,9,14,,,
1115,1998,BLR,Japan,2,0,0,2,,,
1116,1998,KAZ,Japan,2,0,0,2,,,
1117,1998,UKR,Japan,0,0,1,1,,,
1118,1998,CZE,Japan,1,21,1,23,,,
1119,2000,AUS,Australia,54,60,69,183,,,
1120,2000,AUT,Australia,0,3,1,4,,,
1121,2000,DEN,Australia,4,18,3,25,,,
1122,2000,FRA,Australia,14,22,30,66,,,
1123,2000,GBR,Australia,12,22,20,54,,,
1124,2000,GER,Australia,64,31,23,118,,,
1125,2000,GRE,Australia,8,4,6,18,,,
1126,2000,HUN,Australia,4,25,24,53,,,
1127,2000,SUI,Australia,2,1,11,14,,,
1128,2000,USA,Australia,51,130,61,242,,,
1129,2000,BEL,Australia,4,0,3,7,,,
1130,2000,CAN,Australia,23,4,4,31,,,
1131,2000,COL,Australia,0,1,0,1,,,
1132,2000,CUB,Australia,12,18,35,65,,,
1133,2000,ESP,Australia,20,3,19,42,,,
1134,2000,IND,Australia,1,0,0,1,,,
1135,2000,ITA,Australia,29,22,14,65,,,
1136,2000,MEX,Australia,3,1,2,6,,,
1137,2000,NED,Australia,23,27,29,79,,,
1138,2000,NOR,Australia,19,20,4,43,,,
1139,2000,NZL,Australia,3,1,0,4,,,
1140,2000,SWE,Australia,8,4,20,32,,,
1141,2000,FIN,Australia,1,3,1,5,,,
1142,2000,RSA,Australia,3,0,2,5,,,
1143,2000,RUS,Australia,54,66,67,187,,,
1144,2000,BRA,Australia,36,0,12,48,,,
1145,2000,EST,Australia,2,1,0,3,,,
1146,2000,JPN,Australia,8,5,31,44,,,
1147,2000,ARG,Australia,3,0,17,20,,,
1148,2000,IRL,Australia,0,0,1,1,,,
1149,2000,POL,Australia,7,7,10,24,,,
1150,2000,POR,Australia,2,0,0,2,,,
1151,2000,ROU,Australia,13,27,6,46,,,
1152,2000,URU,Australia,0,0,1,1,,,
1153,2000,CHI,Australia,17,0,0,17,,,
1154,2000,LAT,Australia,1,1,1,3,,,
1155,2000,TUR,Australia,2,3,0,5,,,
1156,2000,IRI,Australia,1,3,0,4,,,
1157,2000,JAM,Australia,3,0,20,23,,,
1158,2000,KOR,Australia,35,12,26,73,,,
1159,2000,SRI,Australia,0,0,1,1,,,
1160,2000,TTO,Australia,1,0,1,2,,,
1161,2000,BUL,Australia,2,5,6,13,,,
1162,2000,BAH,Australia,5,6,0,11,,,
1163,2000,ISL,Australia,1,0,0,1,,,
1164,2000,ETH,Australia,3,4,1,8,,,
1165,2000,MAR,Australia,4,0,1,5,,,
1166,2000,TPE,Australia,4,0,1,5,,,
1167,2000,KEN,Australia,2,2,3,7,,,
1168,2000,NGR,Australia,0,6,2,8,,,
1169,2000,PRK,Australia,3,0,1,4,,,
1170,2000,CMR,Australia,0,18,0,18,,,
1171,2000,THA,Australia,2,1,0,3,,,
1172,2000,ALG,Australia,3,1,1,5,,,
1173,2000,CHN,Australia,17,39,23,79,,,
1174,2000,CRC,Australia,2,0,0,2,,,
1175,2000,INA,Australia,2,2,4,8,,,
1176,2000,CRO,Australia,9,1,0,10,,,
1177,2000,ISR,Australia,1,0,0,1,,,
1178,2000,LTU,Australia,15,2,0,17,,,
1179,2000,QAT,Australia,1,0,0,1,,,
1180,2000,SLO,Australia,0,3,0,3,,,
1181,2000,BLR,Australia,11,3,8,22,,,
1182,2000,KAZ,Australia,0,3,4,7,,,
1183,2000,UKR,Australia,12,3,20,35,,,
1184,2000,UZB,Australia,2,1,1,4,,,
1185,2000,ARM,Australia,1,0,0,1,,,
1186,2000,AZE,Australia,1,2,0,3,,,
1187,2000,CZE,Australia,4,2,3,9,,,
1188,2000,GEO,Australia,6,0,0,6,,,
1189,2000,MDA,Australia,1,0,1,2,,,
1190,2000,MOZ,Australia,0,1,0,1,,,
1191,2000,SCG,Australia,13,11,1,25,,,
1192,2000,SVK,Australia,1,2,3,6,,,
1193,2000,BAR,Australia,1,0,0,1,,,
1194,2000,KGZ,Australia,1,0,0,1,,,
1195,2000,KSA,Australia,1,0,1,2,,,
1196,2000,KUW,Australia,1,0,0,1,,,
1197,2000,MKD,Australia,1,0,0,1,,,
1198,2000,VIE,Australia,0,0,1,1,,,
1199,2002,AUS,USA,0,2,0,2,,,
1200,2002,AUT,USA,13,3,4,20,,,
1201,2002,FRA,USA,5,5,5,15,,,
1202,2002,GBR,USA,1,5,0,6,,,
1203,2002,GER,USA,12,26,23,61,,,
1204,2002,SUI,USA,14,3,7,24,,,
1205,2002,USA,USA,15,11,58,84,,,
1206,2002,CAN,USA,15,52,7,74,,,
1207,2002,ITA,USA,6,4,11,21,,,
1208,2002,NED,USA,0,3,5,8,,,
1209,2002,NOR,USA,7,23,11,41,,,
1210,2002,SWE,USA,24,0,2,26,,,
1211,2002,FIN,USA,1,7,5,13,,,
1212,2002,RUS,USA,27,6,5,38,,,
1213,2002,EST,USA,1,1,1,3,,,
1214,2002,JPN,USA,1,0,1,2,,,
1215,2002,POL,USA,1,0,1,2,,,
1216,2002,KOR,USA,0,5,2,7,,,
1217,2002,BUL,USA,2,0,1,3,,,
1218,2002,CHN,USA,9,2,5,16,,,
1219,2002,CRO,USA,0,3,1,4,,,
1220,2002,SLO,USA,4,0,0,4,,,
1221,2002,BLR,USA,1,0,0,1,,,
1222,2002,CZE,USA,0,1,2,3,,,
1223,2004,AUS,Greece,31,49,77,157,,,
1224,2004,AUT,Greece,1,3,4,8,,,
1225,2004,DEN,Greece,9,19,1,29,,,
1226,2004,FRA,Greece,22,21,10,53,,,
1227,2004,GBR,Greece,15,17,25,57,,,
1228,2004,GER,Greece,63,41,45,149,,,
1229,2004,GRE,Greece,5,8,18,31,,,
1230,2004,HUN,Greece,4,24,12,40,,,
1231,2004,SUI,Greece,4,1,2,7,,,
1232,2004,USA,Greece,71,117,75,263,,,
1233,2004,BEL,Greece,2,1,0,3,,,
1234,2004,CAN,Greece,4,3,10,17,,,
1235,2004,COL,Greece,2,0,0,2,,,
1236,2004,CUB,Greece,22,32,8,62,,,
1237,2004,ESP,Greece,9,4,17,30,,,
1238,2004,IND,Greece,0,0,1,1,,,
1239,2004,ITA,Greece,39,24,41,104,,,
1240,2004,MEX,Greece,1,0,3,4,,,
1241,2004,NED,Greece,22,4,51,77,,,
1242,2004,NOR,Greece,2,5,0,7,,,
1243,2004,NZL,Greece,0,4,2,6,,,
1244,2004,SWE,Greece,2,5,5,12,,,
1245,2004,FIN,Greece,0,0,2,2,,,
1246,2004,RSA,Greece,3,4,3,10,,,
1247,2004,RUS,Greece,95,48,46,189,,,
1248,2004,BRA,Greece,3,18,19,40,,,
1249,2004,EST,Greece,2,0,1,3,,,
1250,2004,JPN,Greece,52,21,20,93,,,
1251,2004,ARG,Greece,21,28,0,49,,,
1252,2004,POL,Greece,6,4,2,12,,,
1253,2004,POR,Greece,1,0,2,3,,,
1254,2004,ROU,Greece,11,23,5,39,,,
1255,2004,CHI,Greece,1,3,0,4,,,
1256,2004,EGY,Greece,3,1,1,5,,,
1257,2004,LAT,Greece,0,0,4,4,,,
1258,2004,TUR,Greece,5,3,3,11,,,
1259,2004,IRI,Greece,2,2,2,6,,,
1260,2004,JAM,Greece,6,6,1,13,,,
1261,2004,KOR,Greece,10,14,28,52,,,
1262,2004,TTO,Greece,1,0,0,1,,,
1263,2004,BUL,Greece,14,2,1,17,,,
1264,2004,VEN,Greece,2,0,0,2,,,
1265,2004,BAH,Greece,1,1,0,2,,,
1266,2004,ETH,Greece,2,2,3,7,,,
1267,2004,MAR,Greece,0,2,1,3,,,
1268,2004,TPE,Greece,3,2,4,9,,,
1269,2004,KEN,Greece,2,1,4,7,,,
1270,2004,NGR,Greece,8,0,0,8,,,
1271,2004,PRK,Greece,1,0,4,5,,,
1272,2004,CMR,Greece,0,1,0,1,,,
1273,2004,MGL,Greece,1,0,0,1,,,
1274,2004,THA,Greece,4,3,1,8,,,
1275,2004,ZIM,Greece,1,1,1,3,,,
1276,2004,CHN,Greece,15,52,27,94,,,
1277,2004,DOM,Greece,0,1,0,1,,,
1278,2004,SYR,Greece,1,0,0,1,,,
1279,2004,INA,Greece,3,1,1,5,,,
1280,2004,CRO,Greece,3,15,3,21,,,
1281,2004,ISR,Greece,1,1,0,2,,,
1282,2004,LTU,Greece,0,1,2,3,,,
1283,2004,SLO,Greece,3,0,2,5,,,
1284,2004,BLR,Greece,8,2,5,15,,,
1285,2004,KAZ,Greece,3,1,4,8,,,
1286,2004,UKR,Greece,31,8,8,47,,,
1287,2004,UZB,Greece,2,2,1,5,,,
1288,2004,AZE,Greece,4,1,0,5,,,
1289,2004,CZE,Greece,6,1,6,13,,,
1290,2004,GEO,Greece,0,2,2,4,,,
1291,2004,HKG,Greece,0,0,2,2,,,
1292,2004,SCG,Greece,0,0,13,13,,,
1293,2004,SVK,Greece,5,3,2,10,,,
1294,2004,ERI,Greece,1,0,0,1,,,
1295,2004,PAR,Greece,0,0,17,17,,,
1296,2004,UAE,Greece,0,1,0,1,,,
1297,2006,AUS,Italy,1,1,0,2,,,
1298,2006,AUT,Italy,7,16,7,30,,,
1299,2006,FRA,Italy,10,3,2,15,,,
1300,2006,GBR,Italy,0,0,1,1,,,
1301,2006,GER,Italy,6,23,25,54,,,
1302,2006,SUI,Italy,9,5,7,21,,,
1303,2006,USA,Italy,32,9,11,52,,,
1304,2006,CAN,Italy,11,30,28,69,,,
1305,2006,ITA,Italy,14,11,0,25,,,
1306,2006,NED,Italy,8,3,2,13,,,
1307,2006,NOR,Italy,12,2,9,23,,,
1308,2006,SWE,Italy,8,35,21,64,,,
1309,2006,FIN,Italy,7,0,34,41,,,
1310,2006,RUS,Italy,13,16,12,41,,,
1311,2006,EST,Italy,0,3,0,3,,,
1312,2006,JPN,Italy,0,1,0,1,,,
1313,2006,POL,Italy,1,0,1,2,,,
1314,2006,LAT,Italy,1,0,0,1,,,
1315,2006,KOR,Italy,2,14,3,19,,,
1316,2006,BUL,Italy,0,0,1,1,,,
1317,2006,CHN,Italy,6,2,5,13,,,
1318,2006,CRO,Italy,0,1,2,3,,,
1319,2006,BLR,Italy,0,0,1,1,,,
1320,2006,UKR,Italy,3,0,0,3,,,
1321,2006,CZE,Italy,24,1,2,27,,,
1322,2006,SVK,Italy,0,0,1,1,,,
1323,2008,AUS,China,76,31,42,149,,,
1324,2008,AUT,China,2,0,1,3,,,
1325,2008,DEN,China,6,6,7,19,,,
1326,2008,FRA,China,28,25,24,77,,,
1327,2008,GBR,China,25,31,25,81,,,
1328,2008,GER,China,41,42,16,99,,,
1329,2008,GRE,China,4,0,3,7,,,
1330,2008,HUN,China,3,16,8,27,,,
1331,2008,SUI,China,7,3,1,11,,,
1332,2008,USA,China,80,127,110,317,,,
1333,2008,BEL,China,0,1,4,5,,,
1334,2008,CAN,China,11,11,13,35,,,
1335,2008,COL,China,1,0,1,2,,,
1336,2008,CUB,China,11,2,34,47,,,
1337,2008,ESP,China,16,7,47,70,,,
1338,2008,IND,China,2,1,0,3,,,
1339,2008,ITA,China,20,8,14,42,,,
1340,2008,MEX,China,2,2,0,4,,,
1341,2008,NED,China,4,39,18,61,,,
1342,2008,NOR,China,1,16,5,22,,,
1343,2008,NZL,China,9,4,2,15,,,
1344,2008,SWE,China,2,0,5,7,,,
1345,2008,FIN,China,2,1,2,5,,,
1346,2008,RSA,China,0,0,1,1,,,
1347,2008,RUS,China,53,43,46,142,,,
1348,2008,BRA,China,30,14,34,78,,,
1349,2008,EST,China,0,1,2,3,,,
1350,2008,JPN,China,13,23,15,51,,,
1351,2008,ARG,China,31,20,0,51,,,
1352,2008,IRL,China,2,0,1,3,,,
1353,2008,POL,China,1,6,13,20,,,
1354,2008,POR,China,0,1,1,2,,,
1355,2008,ROU,China,16,5,1,22,,,
1356,2008,CHI,China,0,0,1,1,,,
1357,2008,EGY,China,1,0,0,1,,,
1358,2008,LAT,China,1,1,1,3,,,
1359,2008,TUR,China,3,1,3,7,,,
1360,2008,IRI,China,1,1,0,2,,,
1361,2008,JAM,China,6,5,3,14,,,
1362,2008,KOR,China,26,41,11,78,,,
1363,2008,PAN,China,0,1,0,1,,,
1364,2008,TTO,China,0,5,1,6,,,
1365,2008,BUL,China,3,1,1,5,,,
1366,2008,VEN,China,1,0,0,1,,,
1367,2008,BAH,China,1,0,6,7,,,
1368,2008,ISL,China,0,0,14,14,,,
1369,2008,ETH,China,2,4,1,7,,,
1370,2008,MAR,China,1,0,1,2,,,
1371,2008,SGP,China,0,0,3,3,,,
1372,2008,TPE,China,4,0,0,4,,,
1373,2008,KEN,China,5,6,4,15,,,
1374,2008,NGR,China,7,0,16,23,,,
1375,2008,PRK,China,3,2,1,6,,,
1376,2008,TUN,China,0,1,0,1,,,
1377,2008,CMR,China,0,1,0,1,,,
1378,2008,MGL,China,0,2,2,4,,,
1379,2008,THA,China,0,2,2,4,,,
1380,2008,ZIM,China,0,1,3,4,,,
1381,2008,ALG,China,1,0,1,2,,,
1382,2008,CHN,China,57,74,53,184,,,
1383,2008,DOM,China,0,1,1,2,,,
1384,2008,INA,China,3,2,2,7,,,
1385,2008,CRO,China,3,0,2,5,,,
1386,2008,ISR,China,1,0,0,1,,,
1387,2008,LTU,China,3,0,2,5,,,
1388,2008,MAS,China,0,0,1,1,,,
1389,2008,SLO,China,2,1,2,5,,,
1390,2008,BLR,China,16,8,5,29,,,
1391,2008,KAZ,China,7,2,4,13,,,
1392,2008,UKR,China,16,10,5,31,,,
1393,2008,UZB,China,3,1,2,6,,,
1394,2008,ARM,China,6,0,0,6,,,
1395,2008,AZE,China,4,1,2,7,,,
1396,2008,CZE,China,0,3,4,7,,,
1397,2008,ECU,China,0,0,1,1,,,
1398,2008,GEO,China,3,3,0,6,,,
1399,2008,MDA,China,1,0,0,1,,,
1400,2008,SVK,China,1,4,5,10,,,
1401,2008,KGZ,China,1,0,1,2,,,
1402,2008,VIE,China,0,0,1,1,,,
1403,2008,AFG,China,1,0,0,1,,,
1404,2008,MRI,China,1,0,0,1,,,
1405,2008,SRB,China,14,0,1,15,,,
1406,2008,SUD,China,0,0,1,1,,,
1407,2008,TJK,China,1,0,1,2,,,
1408,2008,TOG,China,1,0,0,1,,,
1409,2010,AUS,Canada,0,2,1,3,,,
1410,2010,AUT,Canada,6,11,9,26,,,
1411,2010,FRA,Canada,6,2,6,14,,,
1412,2010,GBR,Canada,0,1,0,1,,,
1413,2010,GER,Canada,15,15,24,54,,,
1414,2010,SUI,Canada,6,6,0,12,,,
1415,2010,USA,Canada,22,12,63,97,,,
1416,2010,CAN,Canada,8,67,15,90,,,
1417,2010,ITA,Canada,3,1,1,5,,,
1418,2010,NED,Canada,6,4,1,11,,,
1419,2010,NOR,Canada,9,16,14,39,,,
1420,2010,SWE,Canada,4,11,3,18,,,
1421,2010,FIN,Canada,46,0,1,47,,,
1422,2010,RUS,Canada,14,6,5,25,,,
1423,2010,EST,Canada,0,0,1,1,,,
1424,2010,JPN,Canada,2,0,5,7,,,
1425,2010,POL,Canada,4,1,3,8,,,
1426,2010,LAT,Canada,0,0,3,3,,,
1427,2010,KOR,Canada,2,6,10,18,,,
1428,2010,CHN,Canada,7,9,3,19,,,
1429,2010,CRO,Canada,1,0,2,3,,,
1430,2010,SLO,Canada,1,0,2,3,,,
1431,2010,BLR,Canada,1,1,1,3,,,
1432,2010,KAZ,Canada,0,0,1,1,,,
1433,2010,CZE,Canada,7,2,0,9,,,
1434,2010,SVK,Canada,1,1,1,3,,,
1435,2012,AUS,UK,59,18,37,114,,,
1436,2012,DEN,UK,8,3,5,16,,,
1437,2012,FRA,UK,22,30,30,82,,,
1438,2012,GBR,UK,48,48,30,126,,,
1439,2012,GER,UK,22,45,27,94,,,
1440,2012,GRE,UK,3,0,0,3,,,
1441,2012,HUN,UK,6,12,8,26,,,
1442,2012,SUI,UK,0,2,2,4,,,
1443,2012,USA,UK,46,145,57,248,,,
1444,2012,BEL,UK,2,0,1,3,,,
1445,2012,CAN,UK,33,1,21,55,,,
1446,2012,COL,UK,4,1,3,8,,,
1447,2012,CUB,UK,6,5,3,14,,,
1448,2012,ESP,UK,25,5,33,63,,,
1449,2012,IND,UK,4,0,2,6,,,
1450,2012,ITA,UK,30,16,22,68,,,
1451,2012,MEX,UK,3,16,5,24,,,
1452,2012,NED,UK,19,21,29,69,,,
1453,2012,NOR,UK,1,15,1,17,,,
1454,2012,NZL,UK,15,9,3,27,,,
1455,2012,SWE,UK,3,2,17,22,,,
1456,2012,FIN,UK,4,0,1,5,,,
1457,2012,RSA,UK,1,6,2,9,,,
1458,2012,RUS,UK,51,50,39,140,,,
1459,2012,BRA,UK,11,14,34,59,,,
1460,2012,EST,UK,1,0,1,2,,,
1461,2012,JPN,UK,33,7,44,84,,,
1462,2012,ARG,UK,3,1,15,19,,,
1463,2012,IRL,UK,3,1,1,5,,,
1464,2012,POL,UK,8,2,2,12,,,
1465,2012,POR,UK,0,0,2,2,,,
1466,2012,ROU,UK,6,2,8,16,,,
1467,2012,EGY,UK,0,0,2,2,,,
1468,2012,LAT,UK,2,1,0,3,,,
1469,2012,TUR,UK,1,2,2,5,,,
1470,2012,IRI,UK,3,4,5,12,,,
1471,2012,JAM,UK,8,8,9,25,,,
1472,2012,KOR,UK,30,18,13,61,,,
1473,2012,PUR,UK,1,0,1,2,,,
1474,2012,TTO,UK,5,1,4,10,,,
1475,2012,BUL,UK,1,0,1,2,,,
1476,2012,VEN,UK,0,1,0,1,,,
1477,2012,BAH,UK,0,4,0,4,,,
1478,2012,ETH,UK,3,3,1,7,,,
1479,2012,MAR,UK,1,0,0,1,,,
1480,2012,SGP,UK,4,0,0,4,,,
1481,2012,TPE,UK,1,0,1,2,,,
1482,2012,KEN,UK,5,2,4,11,,,
1483,2012,PRK,UK,2,4,0,6,,,
1484,2012,TUN,UK,1,1,1,3,,,
1485,2012,MGL,UK,3,0,2,5,,,
1486,2012,UGA,UK,0,1,0,1,,,
1487,2012,THA,UK,1,0,2,3,,,
1488,2012,ALG,UK,0,1,0,1,,,
1489,2012,CHN,UK,29,56,40,125,,,
1490,2012,DOM,UK,0,1,1,2,,,
1491,2012,INA,UK,1,0,1,2,,,
1492,2012,CRO,UK,16,15,4,35,,,
1493,2012,LTU,UK,2,2,1,5,,,
1494,2012,MAS,UK,1,0,1,2,,,
1495,2012,QAT,UK,2,0,0,2,,,
1496,2012,SLO,UK,3,1,1,5,,,
1497,2012,BLR,UK,8,3,12,23,,,
1498,2012,KAZ,UK,5,7,1,13,,,
1499,2012,UKR,UK,12,9,5,26,,,
1500,2012,UZB,UK,2,1,0,3,,,
1501,2012,ARM,UK,2,0,1,3,,,
1502,2012,AZE,UK,6,2,2,10,,,
1503,2012,CZE,UK,6,4,4,14,,,
1504,2012,GEO,UK,3,1,3,7,,,
1505,2012,HKG,UK,1,0,0,1,,,
1506,2012,MDA,UK,2,0,0,2,,,
1507,2012,SVK,UK,4,0,1,5,,,
1508,2012,KSA,UK,4,0,0,4,,,
1509,2012,KUW,UK,1,0,0,1,,,
1510,2012,AFG,UK,1,0,0,1,,,
1511,2012,SRB,UK,14,1,1,16,,,
1512,2012,TJK,UK,1,0,0,1,,,
1513,2012,BOT,UK,0,0,1,1,,,
1514,2012,BRN,UK,1,0,0,1,,,
1515,2012,CYP,UK,0,0,1,1,,,
1516,2012,GAB,UK,0,0,1,1,,,
1517,2012,GRN,UK,0,1,0,1,,,
1518,2012,GUA,UK,0,0,1,1,,,
1519,2012,MNE,UK,0,0,14,14,,,
1520,2014,AUS,Russia,1,0,2,3,,,
1521,2014,AUT,Russia,11,4,12,27,,,
1522,2014,FRA,Russia,10,4,4,18,,,
1523,2014,GBR,Russia,5,1,4,10,,,
1524,2014,GER,Russia,9,15,12,36,,,
1525,2014,SUI,Russia,20,6,4,30,,,
1526,2014,USA,Russia,24,10,30,64,,,
1527,2014,CAN,Russia,5,59,22,86,,,
1528,2014,ITA,Russia,12,0,2,14,,,
1529,2014,NED,Russia,9,13,7,29,,,
1530,2014,NOR,Russia,13,18,5,36,,,
1531,2014,SWE,Russia,11,8,32,51,,,
1532,2014,FIN,Russia,24,2,7,33,,,
1533,2014,RUS,Russia,13,33,22,68,,,
1534,2014,JPN,Russia,6,1,4,11,,,
1535,2014,POL,Russia,3,4,4,11,,,
1536,2014,LAT,Russia,6,0,5,11,,,
1537,2014,KOR,Russia,2,7,5,14,,,
1538,2014,CHN,Russia,5,3,4,12,,,
1539,2014,CRO,Russia,0,0,1,1,,,
1540,2014,SLO,Russia,4,2,2,8,,,
1541,2014,BLR,Russia,1,5,0,6,,,
1542,2014,KAZ,Russia,1,0,0,1,,,
1543,2014,UKR,Russia,1,4,0,5,,,
1544,2014,CZE,Russia,2,2,7,11,,,
1545,2014,SVK,Russia,0,1,0,1,,,
1546,2016,AUS,Brazil,25,23,34,82,,,
1547,2016,AUT,Brazil,2,0,0,2,,,
1548,2016,DEN,Brazil,16,15,10,41,,,
1549,2016,FRA,Brazil,21,20,55,96,,,
1550,2016,GBR,Brazil,26,64,55,145,,,
1551,2016,GER,Brazil,67,49,43,159,,,
1552,2016,GRE,Brazil,3,3,1,7,,,
1553,2016,HUN,Brazil,7,12,3,22,,,
1554,2016,SUI,Brazil,2,6,3,11,,,
1555,2016,USA,Brazil,71,139,54,264,,,
1556,2016,BEL,Brazil,2,2,17,21,,,
1557,2016,CAN,Brazil,61,4,4,69,,,
1558,2016,COL,Brazil,3,3,2,8,,,
1559,2016,CUB,Brazil,4,5,2,11,,,
1560,2016,ESP,Brazil,17,9,19,45,,,
1561,2016,IND,Brazil,1,0,1,2,,,
1562,2016,ITA,Brazil,24,8,40,72,,,
1563,2016,MEX,Brazil,2,0,3,5,,,
1564,2016,NED,Brazil,13,9,25,47,,,
1565,2016,NOR,Brazil,19,0,0,19,,,
1566,2016,NZL,Brazil,5,6,25,36,,,
1567,2016,SWE,Brazil,3,2,23,28,,,
1568,2016,FIN,Brazil,1,0,0,1,,,
1569,2016,RSA,Brazil,14,2,7,23,,,
1570,2016,RUS,Brazil,35,52,28,115,,,
1571,2016,BRA,Brazil,6,36,8,50,,,
1572,2016,EST,Brazil,4,0,0,4,,,
